Frame; Zeit (in s); Objekt 1 x-Koordinate; Objekt 1 y-Koordinate; Objekt 1 x-Geschwindigkeit; Objekt 1 y-Geschwindigkeit
1; 0,000E0; ; ; ;
2; 3,336E-2; ; ; ;
3; 6,672E-2; ; ; ;
4; 1,001E-1; ; ; ;
5; 1,334E-1; ; ; ;
6; 1,668E-1; ; ; ;
7; 2,002E-1; ; ; ;
8; 2,335E-1; ; ; ;
9; 2,669E-1; ; ; ;
10; 3,003E-1; ; ; ;
11; 3,336E-1; ; ; ;
12; 3,670E-1; ; ; ;
13; 4,003E-1; ; ; ;
14; 4,337E-1; 4,201E-1; 3,166E-2; 0,000E0; 0,000E0
15; 4,671E-1; 4,376E-2; 1,755E-2; -1,128E1; -4,228E-1
16; 5,004E-1; 4,455E-2; 2,164E-2; 2,379E-2; 1,226E-1
17; 5,338E-1; 4,520E-2; 2,388E-2; 1,956E-2; 6,718E-2
18; 5,672E-1; 8,415E-1; 3,281E-2; 2,387E1; 2,676E-1
19; 6,005E-1; 4,589E-2; 2,801E-2; -2,385E1; -1,438E-1
20; 6,339E-1; 4,651E-2; 2,988E-2; 1,882E-2; 5,604E-2
21; 6,672E-1; 1,436E0; 2,128E-2; 4,163E1; -2,580E-1
22; 7,006E-1; 4,924E-2; 3,390E-2; -4,155E1; 3,785E-1
23; 7,340E-1; 5,133E-2; 3,519E-2; 6,258E-2; 3,870E-2
24; 7,673E-1; 1,987E0; 7,149E-3; 5,803E1; -8,407E-1
